19:10:05.384 WARN  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@4dcc40c5 uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/review-service/default": Connection refused: getsockopt
19:10:05.722 INFO  review-service [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
19:10:05.923 INFO  review-service [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 192 ms. Found 2 JPA repository interfaces.
19:10:05.977 INFO  review-service [main] o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor - Replacing 'dataSource' DataSource bean with embedded version
19:10:06.227 INFO  review-service [main] o.s.j.d.e.EmbeddedDatabaseFactory - Starting embedded database: url='jdbc:h2:mem:e6a73c00-cdbe-4e87-b311-e9d10cc62f9b;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
19:10:06.728 INFO  review-service [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
19:10:06.809 INFO  review-service [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.2.Final
19:10:06.812 INFO  review-service [main] org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
19:10:07.021 INFO  review-service [main] o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
19:10:07.033 INFO  review-service [main] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
19:10:07.126 INFO  review-service [main] org.hibernate.orm.dialect - HHH035001: Using dialect: org.hibernate.dialect.H2Dialect, version: 2.1.214
19:10:07.490 INFO  review-service [main] o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
19:10:08.052 INFO  review-service [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
19:10:08.098 INFO  review-service [main] o.h.t.s.i.e.GenerationTargetToDatabase - HHH000476: Executing script '[injected ScriptSourceInputNonExistentImpl script]'
19:10:08.100 INFO  review-service [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
19:10:08.587 INFO  review-service [main] o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
19:10:09.381 INFO  review-service [main] b.p.s.r.ReviewRepositoryTest - Started ReviewRepositoryTest in 5.478 seconds (process running for 8.371)
19:10:09.734 INFO  review-service [main] b.p.s.c.ReviewControllerTest - Starting ReviewControllerTest using Java 17.0.13 with PID 33544 (started by yoran in C:\Users\yoran\Java-Project\project-YoranByloosPXL\backend-java\Backend\review-service)
19:10:09.735 DEBUG review-service [main] b.p.s.c.ReviewControllerTest - Running with Spring Boot v3.1.0, Spring v6.0.9
19:10:09.735 INFO  review-service [main] b.p.s.c.ReviewControllerTest - No active profile set, falling back to 1 default profile: "default"
19:10:09.738 INFO  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
19:10:09.738 INFO  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/review-service/default": Connection refused: getsockopt. Will be trying the next url if available
19:10:09.738 WARN  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@3bb8a56c uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/review-service/default": Connection refused: getsockopt
19:10:10.399 INFO  review-service [main] o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
19:10:10.399 INFO  review-service [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
19:10:10.400 INFO  review-service [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
19:10:10.410 INFO  review-service [main] b.p.s.c.ReviewControllerTest - Started ReviewControllerTest in 0.834 seconds (process running for 9.4)
19:10:10.463 INFO  review-service [main] b.p.s.controller.ReviewController - ApprovePost requested postId=123
19:10:10.498 INFO  review-service [main] b.p.s.controller.ReviewController - RejectPost requested postId=7 by reviewer=ann
19:10:10.581 INFO  review-service [main] b.p.s.controller.ReviewController - GetReviewsByPostId called postId=5
19:10:10.589 INFO  review-service [main] b.p.s.controller.ReviewController - GetReviewablePosts called reviewer=ann
19:10:10.602 WARN  review-service [main] o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MissingRequestHeaderException: Required request header 'username' for method parameter type String is not present]
19:10:10.607 INFO  review-service [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
19:10:10.608 INFO  review-service [SpringApplicationShutdownHook] o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
