17:33:09.879 INFO  post-service [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
17:33:09.881 INFO  post-service [main] o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8080
17:33:09.892 INFO  post-service [DiscoveryClient-InstanceInfoReplicator-0] c.netflix.discovery.DiscoveryClient - DiscoveryClient_POST-SERVICE/10.7.8.221:post-service:8080 - registration status: 204
17:33:09.897 INFO  post-service [main] b.p.services.PostServiceApplication - Started PostServiceApplication in 3.821 seconds (process running for 4.295)
17:33:22.638 INFO  post-service [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
17:33:22.639 INFO  post-service [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
17:33:22.639 INFO  post-service [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
17:33:22.657 INFO  post-service [http-nio-8080-exec-1] b.p.s.controller.PostController - Retrieving all published posts...
17:33:31.671 INFO  post-service [http-nio-8080-exec-2] b.p.s.controller.PostController - Retrieving all published posts...
17:33:32.248 INFO  post-service [http-nio-8080-exec-3] b.p.s.controller.PostController - Retrieving all published posts...
17:38:09.688 INFO  post-service [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
17:43:09.697 INFO  post-service [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
17:48:09.712 INFO  post-service [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
17:53:09.718 INFO  post-service [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
17:58:09.732 INFO  post-service [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
18:02:25.009 INFO  post-service [SpringApplicationShutdownHook] o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application POST-SERVICE with eureka with status DOWN
18:02:25.009 INFO  post-service [SpringApplicationShutdownHook] c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1755100945009, current=DOWN, previous=UP]
18:02:25.010 INFO  post-service [DiscoveryClient-InstanceInfoReplicator-0] c.netflix.discovery.DiscoveryClient - DiscoveryClient_POST-SERVICE/10.7.8.221:post-service:8080: registering service...
18:02:25.030 INFO  post-service [DiscoveryClient-InstanceInfoReplicator-0] c.netflix.discovery.DiscoveryClient - DiscoveryClient_POST-SERVICE/10.7.8.221:post-service:8080 - registration status: 204
18:02:25.055 INFO  post-service [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
18:02:25.063 INFO  post-service [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
18:02:25.079 INFO  post-service [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
18:02:25.079 INFO  post-service [SpringApplicationShutdownHook] c.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
18:02:28.095 INFO  post-service [SpringApplicationShutdownHook] c.netflix.discovery.DiscoveryClient - Unregistering ...
18:02:28.110 INFO  post-service [SpringApplicationShutdownHook] c.netflix.discovery.DiscoveryClient - DiscoveryClient_POST-SERVICE/10.7.8.221:post-service:8080 - deregister  status: 200
18:02:28.115 INFO  post-service [SpringApplicationShutdownHook] c.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
18:03:11.260 INFO  post-service [main] b.p.services.PostServiceApplication - Starting PostServiceApplication using Java 23.0.1 with PID 21608 (C:\Users\yoran\Java-Project\project-YoranByloosPXL\backend-java\Backend\post-service\target\classes started by yoran in C:\Users\yoran\Java-Project\project-YoranByloosPXL\backend-java)
18:03:11.262 DEBUG post-service [main] b.p.services.PostServiceApplication - Running with Spring Boot v3.1.0, Spring v6.0.9
18:03:11.263 INFO  post-service [main] b.p.services.PostServiceApplication - No active profile set, falling back to 1 default profile: "default"
18:03:11.302 INFO  post-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
18:03:11.302 INFO  post-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Located environment: name=post-service, profiles=[default], label=null, version=null, state=null
18:03:11.822 INFO  post-service [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
